filename,dyadNumber,condition,game,trial,target,choice,correct,signallingPlayer,role,turnNumber,turnType,turnStart,turnEnd,turnLength,modality,signalStart,signalEnd,signalLength,signalType
D12_TT_Coded.eaf,D12,Auditory,0,0,2,2,Correct,1,Director,1,"T1",71607,84620,13013,Visual,71607,84620,13013,"X"
D12_TT_Coded.eaf,D12,Auditory,0,1,3,3,Correct,2,Director,1,"T1",100026,118026,18000,Visual,100040,108027,7987,"X"
D12_TT_Coded.eaf,D12,Auditory,0,1,3,3,Correct,2,Director,1,"T1",100026,118026,18000,Visual,112229,118039,5810,"X"
D12_TT_Coded.eaf,D12,Auditory,0,2,7,7,Correct,1,Director,1,"T1",129215,144242,15027,Visual,129229,132026,2797,"X"
D12_TT_Coded.eaf,D12,Auditory,0,2,7,7,Correct,1,Director,1,"T1",129215,144242,15027,Visual,138215,144229,6014,"X"
D12_TT_Coded.eaf,D12,Auditory,0,2,7,7,Correct,1,Director,1,"T1",129215,144242,15027,Acoustic,142026,144243,2217,"X"
D12_TT_Coded.eaf,D12,Auditory,0,2,7,7,Correct,2,Matcher,1,"T1",149431,152418,2987,Visual,149431,152418,2987,"X"
D12_TT_Coded.eaf,D12,Auditory,0,3,1,1,Correct,1,Matcher,1,"T2",154418,155215,797,Visual,154418,155215,797,"X"
D12_TT_Coded.eaf,D12,Auditory,0,2,7,7,Correct,1,Director,2,"T2",154418,155215,797,Visual,154418,155215,797,"X"
D12_TT_Coded.eaf,D12,Auditory,0,3,1,1,Correct,2,Director,1,"T3",155837,158418,2581,Visual,155837,158418,2581,"X"
D12_TT_Coded.eaf,D12,Auditory,0,4,5,5,Correct,1,Director,1,"T1",166040,170215,4175,Visual,166040,170215,4175,"X"
D12_TT_Coded.eaf,D12,Auditory,0,5,4,4,Correct,2,Director,1,"T1",178824,180229,1405,Visual,178824,180229,1405,"X"
D12_TT_Coded.eaf,D12,Auditory,0,6,3,3,Correct,1,Director,1,"T1",191026,194648,3622,Visual,191026,194648,3622,"X"
D12_TT_Coded.eaf,D12,Auditory,0,6,3,3,Correct,1,Director,1,"T1",191026,194648,3622,Acoustic,192242,194661,2419,"X"
D12_TT_Coded.eaf,D12,Auditory,0,7,8,8,Correct,2,Director,1,"T1",204215,206823,2608,Visual,204215,206823,2608,"X"
D12_TT_Coded.eaf,D12,Auditory,0,7,8,8,Correct,1,Matcher,1,"T2",210229,211242,1013,Visual,210229,211242,1013,"X"
D12_TT_Coded.eaf,D12,Auditory,0,7,8,8,Correct,2,Director,2,"T3",211634,214039,2405,Visual,211634,214039,2405,"X"
D12_TT_Coded.eaf,D12,Auditory,0,8,6,2,Incorrect,2,Matcher,1,"T1",271026,274621,3595,Visual,271026,274621,3595,"X"
D12_TT_Coded.eaf,D12,Auditory,0,10,4,5,Incorrect,1,Director,1,"T1",287607,289039,1432,Visual,287607,289039,1432,"X"
D12_TT_Coded.eaf,D12,Auditory,0,12,8,8,Correct,1,Director,1,"T1",310053,312621,2568,Visual,310053,312621,2568,"X"
D12_TT_Coded.eaf,D12,Auditory,0,13,6,6,Correct,2,Director,1,"T1",317431,320404,2973,Visual,317431,320404,2973,"X"
D12_TT_Coded.eaf,D12,Auditory,0,13,6,6,Correct,1,Matcher,1,"T2",324824,330026,5202,Visual,324823,325607,784,"X"
D12_TT_Coded.eaf,D12,Auditory,0,13,6,6,Correct,1,Matcher,1,"T2",324824,330026,5202,Visual,329404,330039,635,"X"
