"","filename","dyadNumber","condition","game","trial","target","choice","correct","trialStart","trialEnd","trialValue","startOfNextTrial","signallingPlayer","role","turnNumber","turnType","turnStart","turnEnd","turnLength","modality","signalStart","signalEnd","signalLength","signalType","trialString","modalityCondition","trialLength"
"1","D10_TT_Coded.eaf","D10","Auditory",0,1,3,3,TRUE,95090,120665,"Ga0 Tu1 Ta3 {8 *3* 4} Ch3",123787,2,"Director",1,"T1",107188,112229,5041,"Acoustic",107188,112229,5041,"X","Auditory D10 0 1","vocal",16599
"2","D10_TT_Coded.eaf","D10","Auditory",0,2,7,7,TRUE,123787,146272,"Ga0 Tu2 Ta7 {*7* 2 3} Ch7",148617,1,"Director",1,"T1",129404,131229,1825,"Acoustic",129404,131229,1825,"X","Auditory D10 0 2","vocal",19213
"3","D10_TT_Coded.eaf","D10","Auditory",0,3,1,1,TRUE,148617,175072,"Ga0 Tu3 Ta1 {6 4 *1*} Ch1",178820,2,"Director",1,"T1",162810,165215,2405,"Acoustic",162810,165215,2405,"X","Auditory D10 0 3","vocal",16010
"4","D10_TT_Coded.eaf","D10","Auditory",0,4,5,6,FALSE,178820,199387,"Ga0 Tu4 Ta5 {7 5 *6*} Ch6",200158,1,"Director",1,"T1",182418,183837,1419,"Acoustic",182418,183837,1419,"X","Auditory D10 0 4","vocal",17740
"5","D10_TT_Coded.eaf","D10","Auditory",0,5,4,4,TRUE,200158,215229,"Ga0 Tu5 Ta4 {*4* 7 1} Ch4",217724,2,"Director",1,"T1",203824,207054,3230,"Acoustic",203823,205039,1216,"X","Auditory D10 0 5","vocal",13900
"6","D10_TT_Coded.eaf","D10","Auditory",0,5,4,4,TRUE,200158,215229,"Ga0 Tu5 Ta4 {*4* 7 1} Ch4",217724,2,"Director",1,"T1",203824,207054,3230,"Acoustic",206229,207054,825,"X","Auditory D10 0 5","vocal",13900
"7","D10_TT_Coded.eaf","D10","Auditory",0,6,3,3,TRUE,217724,234714,"Ga0 Tu6 Ta3 {4 5 *3*} Ch3",236333,1,"Director",1,"T1",224026,228026,4000,"Acoustic",224026,228026,4000,"X","Auditory D10 0 6","vocal",12307
"8","D10_TT_Coded.eaf","D10","Auditory",0,7,8,8,TRUE,236333,251036,"Ga0 Tu7 Ta8 {5 *8* 3} Ch8",253273,2,"Director",1,"T1",244027,247608,3581,"Acoustic",244027,247608,3581,"X","Auditory D10 0 7","vocal",9246
"9","D10_TT_Coded.eaf","D10","Auditory",0,8,6,6,TRUE,253273,278102,"Ga0 Tu8 Ta6 {2 *6* 8} Ch6",279555,1,"Director",1,"T1",263418,266215,2797,"Acoustic",263418,266215,2797,"X","Auditory D10 0 8","vocal",16137
"10","D10_TT_Coded.eaf","D10","Auditory",0,9,2,2,TRUE,279555,301642,"Ga0 Tu9 Ta2 {*2* 1 4} Ch2",304425,2,"Director",1,"T1",287228,289418,2190,"Acoustic",287228,289418,2190,"X","Auditory D10 0 9","vocal",17197
"11","D10_TT_Coded.eaf","D10","Auditory",0,10,4,4,TRUE,304425,314459,"Ga0 Tu10 Ta4 {6 5 *4*} Ch4",315602,1,"Director",1,"T1",305634,306418,784,"Acoustic",305634,306418,784,"X","Auditory D10 0 10","vocal",9968
"12","D10_TT_Coded.eaf","D10","Auditory",0,11,7,7,TRUE,315602,333377,"Ga0 Tu11 Ta7 {8 *7* 3} Ch7",341182,2,"Director",1,"T1",321202,326810,5608,"Acoustic",321202,326810,5608,"X","Auditory D10 0 11","vocal",19980
"13","D10_TT_Coded.eaf","D10","Auditory",0,12,8,8,TRUE,341182,350834,"Ga0 Tu12 Ta8 {1 *8* 6} Ch8",353832,1,"Director",1,"T1",344418,346823,2405,"Acoustic",344418,346823,2405,"X","Auditory D10 0 12","vocal",9414
"14","D10_TT_Coded.eaf","D10","Auditory",0,13,6,6,TRUE,353832,366527,"Ga0 Tu13 Ta6 {*6* 7 8} Ch6",368075,2,"Director",1,"T1",358418,365215,6797,"Acoustic",358418,365215,6797,"X","Auditory D10 0 13","vocal",9657
"15","D10_TT_Coded.eaf","D10","Auditory",0,14,1,1,TRUE,368075,378888,"Ga0 Tu14 Ta1 {*1* 7 2} Ch1",381207,1,"Director",1,"T1",371634,373229,1595,"Acoustic",371634,373229,1595,"X","Auditory D10 0 14","vocal",9573
"16","D10_TT_Coded.eaf","D10","Auditory",0,15,5,5,TRUE,381207,402638,"Ga0 Tu15 Ta5 {2 3 *5*} Ch5",410573,2,"Director",1,"T1",384418,387824,3406,"Acoustic",384418,385418,1000,"X","Auditory D10 0 15","vocal",26155
"17","D10_TT_Coded.eaf","D10","Auditory",0,15,5,5,TRUE,381207,402638,"Ga0 Tu15 Ta5 {2 3 *5*} Ch5",410573,2,"Director",1,"T1",384418,387824,3406,"Acoustic",386823,387620,797,"X","Auditory D10 0 15","vocal",26155
"18","D10_TT_Coded.eaf","D10","Auditory",1,0,7,7,TRUE,410573,426216,"Ga1 Tu0 Ta7 {*7* 2 3} Ch7",428357,1,"Director",1,"T1",420594,422810,2216,"Acoustic",420594,422810,2216,"X","Auditory D10 1 0","vocal",7763
"19","D10_TT_Coded.eaf","D10","Auditory",1,1,1,1,TRUE,428357,443493,"Ga1 Tu1 Ta1 {6 4 *1*} Ch1",445775,2,"Director",1,"T1",433026,434620,1594,"Acoustic",433026,434620,1594,"X","Auditory D10 1 1","vocal",12749
"20","D10_TT_Coded.eaf","D10","Auditory",1,2,3,3,TRUE,445775,460069,"Ga1 Tu2 Ta3 {4 5 *3*} Ch3",461644,1,"Director",1,"T1",449418,453824,4406,"Acoustic",449418,453824,4406,"X","Auditory D10 1 2","vocal",12226
