"","filename","dyadNumber","condition","game","trial","target","choice","correct","trialStart","trialEnd","trialValue","startOfNextTrial","signallingPlayer","role","turnNumber","turnType","turnStart","turnEnd","turnLength","modality","signalStart","signalEnd","signalLength","signalType","trialString","modalityCondition","playerId","itemId","turnString","trialLength"
"1","D10_TT_Coded.eaf","D10","Auditory",0,0,2,2,TRUE,37629,85279,"Ga0 Tu0 Ta2 {5 1 *2*} Ch2",95090,1,"Director",1,"T1",51796,53634,1838,"Acoustic",51796,53634,1838,"X","Auditory D10 0 0","vocal","D10 1","Auditory 2","Auditory vocal D10 51796 53634",33483
"2","D10_TT_Coded.eaf","D10","Auditory",0,1,3,3,TRUE,95090,120665,"Ga0 Tu1 Ta3 {8 *3* 4} Ch3",123787,2,"Director",1,"T1",107188,112229,5041,"Acoustic",107188,112229,5041,"X","Auditory D10 0 1","vocal","D10 2","Auditory 3","Auditory vocal D10 107188 112229",13477
"3","D10_TT_Coded.eaf","D10","Auditory",0,2,7,7,TRUE,123787,146272,"Ga0 Tu2 Ta7 {*7* 2 3} Ch7",148617,1,"Director",1,"T1",129404,131229,1825,"Acoustic",129404,131229,1825,"X","Auditory D10 0 2","vocal","D10 1","Auditory 7","Auditory vocal D10 129404 131229",16868
"4","D10_TT_Coded.eaf","D10","Auditory",0,3,1,1,TRUE,148617,175072,"Ga0 Tu3 Ta1 {6 4 *1*} Ch1",178820,2,"Director",1,"T1",162810,165215,2405,"Acoustic",162810,165215,2405,"X","Auditory D10 0 3","vocal","D10 2","Auditory 1","Auditory vocal D10 162810 165215",12262
"5","D10_TT_Coded.eaf","D10","Auditory",0,4,5,6,FALSE,178820,199387,"Ga0 Tu4 Ta5 {7 5 *6*} Ch6",200158,1,"Director",1,"T1",182418,183837,1419,"Acoustic",182418,183837,1419,"X","Auditory D10 0 4","vocal","D10 1","Auditory 5","Auditory vocal D10 182418 183837",16969
"6","D10_TT_Coded.eaf","D10","Auditory",0,5,4,4,TRUE,200158,215229,"Ga0 Tu5 Ta4 {*4* 7 1} Ch4",217724,2,"Director",1,"T1",203824,207054,3230,"Acoustic",203823,205039,1216,"X","Auditory D10 0 5","vocal","D10 2","Auditory 4","Auditory vocal D10 203824 207054",11405
"7","D10_TT_Coded.eaf","D10","Auditory",0,5,4,4,TRUE,200158,215229,"Ga0 Tu5 Ta4 {*4* 7 1} Ch4",217724,2,"Director",1,"T1",203824,207054,3230,"Acoustic",206229,207054,825,"X","Auditory D10 0 5","vocal","D10 2","Auditory 4","Auditory vocal D10 203824 207054",11405
"8","D10_TT_Coded.eaf","D10","Auditory",0,6,3,3,TRUE,217724,234714,"Ga0 Tu6 Ta3 {4 5 *3*} Ch3",236333,1,"Director",1,"T1",224026,228026,4000,"Acoustic",224026,228026,4000,"X","Auditory D10 0 6","vocal","D10 1","Auditory 3","Auditory vocal D10 224026 228026",10688
"9","D10_TT_Coded.eaf","D10","Auditory",0,7,8,8,TRUE,236333,251036,"Ga0 Tu7 Ta8 {5 *8* 3} Ch8",253273,2,"Director",1,"T1",244027,247608,3581,"Acoustic",244027,247608,3581,"X","Auditory D10 0 7","vocal","D10 2","Auditory 8","Auditory vocal D10 244027 247608",7009
"10","D10_TT_Coded.eaf","D10","Auditory",0,8,6,6,TRUE,253273,278102,"Ga0 Tu8 Ta6 {2 *6* 8} Ch6",279555,1,"Director",1,"T1",263418,266215,2797,"Acoustic",263418,266215,2797,"X","Auditory D10 0 8","vocal","D10 1","Auditory 6","Auditory vocal D10 263418 266215",14684
"11","D10_TT_Coded.eaf","D10","Auditory",0,9,2,2,TRUE,279555,301642,"Ga0 Tu9 Ta2 {*2* 1 4} Ch2",304425,2,"Director",1,"T1",287228,289418,2190,"Acoustic",287228,289418,2190,"X","Auditory D10 0 9","vocal","D10 2","Auditory 2","Auditory vocal D10 287228 289418",14414
"12","D10_TT_Coded.eaf","D10","Auditory",0,10,4,4,TRUE,304425,314459,"Ga0 Tu10 Ta4 {6 5 *4*} Ch4",315602,1,"Director",1,"T1",305634,306418,784,"Acoustic",305634,306418,784,"X","Auditory D10 0 10","vocal","D10 1","Auditory 4","Auditory vocal D10 305634 306418",8825
